Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 1290 | Loss: -1208.040 | lengthscale: 0.284 | outputscale: 3.100 | noise: 0.099
Iter 1300 | Loss: -1208.012 | lengthscale: 0.284 | outputscale: 3.095 | noise: 0.099
Iter 1310 | Loss: -1207.953 | lengthscale: 0.284 | outputscale: 3.090 | noise: 0.099
Iter 1320 | Loss: -1208.075 | lengthscale: 0.284 | outputscale: 3.085 | noise: 0.099
Iter 1330 | Loss: -1208.008 | lengthscale: 0.284 | outputscale: 3.080 | noise: 0.099
Iter 1340 | Loss: -1208.015 | lengthscale: 0.284 | outputscale: 3.075 | noise: 0.099
Iter 1350 | Loss: -1208.042 | lengthscale: 0.284 | outputscale: 3.070 | noise: 0.099
Iter 1360 | Loss: -1208.076 | lengthscale: 0.284 | outputscale: 3.065 | noise: 0.099
Iter 1370 | Loss: -1208.088 | lengthscale: 0.283 | outputscale: 3.060 | noise: 0.099
Iter 1380 | Loss: -1208.043 | lengthscale: 0.283 | outputscale: 3.055 | noise: 0.099
Iter 1390 | Loss: -1208.101 | lengthscale: 0.283 | outputscale: 3.050 | noise: 0.099
Iter 1400 | Loss: -1208.084 | lengthscale: 0.283 | outputscale: 3.044 | noise: 0.099
Iter 1410 | Loss: -1208.118 | lengthscale: 0.283 | outputscale: 3.039 | noise: 0.099
Iter 1420 | Loss: -1208.136 | lengthscale: 0.283 | outputscale: 3.034 | noise: 0.099
Iter 1430 | Loss: -1208.193 | lengthscale: 0.283 | outputscale: 3.029 | noise: 0.099
Iter 1440 | Loss: -1208.094 | lengthscale: 0.283 | outputscale: 3.023 | noise: 0.099
Iter 1450 | Loss: -1208.193 | lengthscale: 0.282 | outputscale: 3.018 | noise: 0.099
Iter 1460 | Loss: -1208.288 | lengthscale: 0.282 | outputscale: 3.013 | noise: 0.099
Iter 1470 | Loss: -1208.217 | lengthscale: 0.282 | outputscale: 3.008 | noise: 0.099
Iter 1480 | Loss: -1208.206 | lengthscale: 0.282 | outputscale: 3.003 | noise: 0.099
Iter 1490 | Loss: -1208.186 | lengthscale: 0.282 | outputscale: 2.998 | noise: 0.099
Iter 1500 | Loss: -1208.190 | lengthscale: 0.282 | outputscale: 2.993 | noise: 0.099
Iter 1510 | Loss: -1208.215 | lengthscale: 0.282 | outputscale: 2.987 | noise: 0.099
Iter 1520 | Loss: -1208.161 | lengthscale: 0.282 | outputscale: 2.982 | noise: 0.099
Iter 1530 | Loss: -1208.193 | lengthscale: 0.282 | outputscale: 2.977 | noise: 0.099
Iter 1540 | Loss: -1208.189 | lengthscale: 0.281 | outputscale: 2.972 | noise: 0.099
Iter 1550 | Loss: -1208.323 | lengthscale: 0.281 | outputscale: 2.967 | noise: 0.099
Iter 1560 | Loss: -1208.216 | lengthscale: 0.281 | outputscale: 2.962 | noise: 0.099
Iter 1570 | Loss: -1208.206 | lengthscale: 0.281 | outputscale: 2.957 | noise: 0.099
Iter 1580 | Loss: -1208.186 | lengthscale: 0.281 | outputscale: 2.951 | noise: 0.099
