Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 1130 | Loss:  313.458 | lengthscale: 201.399 | outputscale: 0.874 | noise: 0.288
Iter 1140 | Loss:  313.070 | lengthscale: 203.958 | outputscale: 0.877 | noise: 0.289
Iter 1150 | Loss:  312.701 | lengthscale: 206.497 | outputscale: 0.880 | noise: 0.289
Iter 1160 | Loss:  312.348 | lengthscale: 209.014 | outputscale: 0.884 | noise: 0.289
Iter 1170 | Loss:  312.011 | lengthscale: 211.510 | outputscale: 0.887 | noise: 0.289
Iter 1180 | Loss:  311.690 | lengthscale: 213.983 | outputscale: 0.891 | noise: 0.289
Iter 1190 | Loss:  311.377 | lengthscale: 216.436 | outputscale: 0.895 | noise: 0.289
Iter 1200 | Loss:  311.083 | lengthscale: 218.869 | outputscale: 0.898 | noise: 0.289
Iter 1210 | Loss:  310.799 | lengthscale: 221.284 | outputscale: 0.902 | noise: 0.289
Iter 1220 | Loss:  310.525 | lengthscale: 223.684 | outputscale: 0.906 | noise: 0.289
Iter 1230 | Loss:  310.260 | lengthscale: 226.071 | outputscale: 0.910 | noise: 0.289
Iter 1240 | Loss:  310.001 | lengthscale: 228.448 | outputscale: 0.914 | noise: 0.289
Iter 1250 | Loss:  309.753 | lengthscale: 230.818 | outputscale: 0.918 | noise: 0.289
Iter 1260 | Loss:  309.512 | lengthscale: 233.184 | outputscale: 0.922 | noise: 0.289
Iter 1270 | Loss:  309.276 | lengthscale: 235.549 | outputscale: 0.926 | noise: 0.289
Iter 1280 | Loss:  309.046 | lengthscale: 237.916 | outputscale: 0.930 | noise: 0.289
Iter 1290 | Loss:  308.822 | lengthscale: 240.287 | outputscale: 0.934 | noise: 0.289
Iter 1300 | Loss:  308.600 | lengthscale: 242.666 | outputscale: 0.938 | noise: 0.289
Iter 1310 | Loss:  308.383 | lengthscale: 245.054 | outputscale: 0.943 | noise: 0.289
Iter 1320 | Loss:  308.170 | lengthscale: 247.454 | outputscale: 0.947 | noise: 0.289
Iter 1330 | Loss:  307.957 | lengthscale: 249.867 | outputscale: 0.951 | noise: 0.289
Iter 1340 | Loss:  307.748 | lengthscale: 252.294 | outputscale: 0.955 | noise: 0.289
Iter 1350 | Loss:  307.545 | lengthscale: 254.737 | outputscale: 0.959 | noise: 0.289
Iter 1360 | Loss:  307.342 | lengthscale: 257.194 | outputscale: 0.963 | noise: 0.289
Iter 1370 | Loss:  307.141 | lengthscale: 259.667 | outputscale: 0.968 | noise: 0.289
Iter 1380 | Loss:  306.948 | lengthscale: 262.155 | outputscale: 0.972 | noise: 0.289
Iter 1390 | Loss:  306.753 | lengthscale: 264.657 | outputscale: 0.976 | noise: 0.289
Iter 1400 | Loss:  306.557 | lengthscale: 267.171 | outputscale: 0.980 | noise: 0.289
Iter 1410 | Loss:  306.372 | lengthscale: 269.697 | outputscale: 0.985 | noise: 0.289
Iter 1420 | Loss:  306.188 | lengthscale: 272.231 | outputscale: 0.989 | noise: 0.289
Iter 1430 | Loss:  306.006 | lengthscale: 274.773 | outputscale: 0.993 | noise: 0.289
Iter 1440 | Loss:  305.828 | lengthscale: 277.320 | outputscale: 0.997 | noise: 0.289
Iter 1450 | Loss:  305.653 | lengthscale: 279.871 | outputscale: 1.002 | noise: 0.289
Iter 1460 | Loss:  305.483 | lengthscale: 282.424 | outputscale: 1.006 | noise: 0.289
Iter 1470 | Loss:  305.319 | lengthscale: 284.977 | outputscale: 1.010 | noise: 0.289
Iter 1480 | Loss:  305.155 | lengthscale: 287.529 | outputscale: 1.015 | noise: 0.289
